,CHF1,EUR1,USD1,EUR2,USD2
2014-07-22,1.12129624,1.35685,1,1.35685,1
2014-07-23,1.11644529,1.3527,1,1.3527,1
2014-07-24,1.11320767,1.3527,1,1.3527,1
2014-07-25,1.11414406,1.35256,1,1.35256,1
2014-07-26,1.11301566,1.35245,1,1.35245,1
2014-07-27,1.11306522,1.353035,1,1.353035,1
2014-07-28,1.11387105,1.35235,1,1.35235,1
2014-07-29,1.11343698,1.3467,1,1.3467,1
2014-07-30,1.10778797,1.3464,1,1.3464,1
2014-07-31,1.10821744,1.346415,1,1.346415,1
2014-08-01,1.1079107,1.34355,1,1.34355,1
2014-08-02,1.10478943,1.34306,1,1.34306,1
2014-08-03,1.10527776,1.342945,1,1.342945,1
2014-08-04,1.10530827,1.343955,1,1.343955,1
2014-08-05,1.10618857,1.341,1,1.341,1
2014-08-06,1.10253605,1.3396,1,1.3396,1
2014-08-07,1.10044295,1.33885,1,1.33885,1
2014-08-08,1.10024321,1.3431,1,1.3431,1
2014-08-09,1.10381373,1.34275,1,1.34275,1
2014-08-10,1.10378936,1.34285,1,1.34285,1
2014-08-11,1.103899,1.342285,1,1.342285,1
2014-08-12,1.10288848,1.3372,1,1.3372,1
2014-08-13,1.09968675,1.3382,1,1.3382,1
2014-08-14,1.10198926,1.33612,1,1.33612,1
2014-08-15,1.10004959,1.340475,1,1.340475,1
2014-08-16,1.10453306,1.34112,1,1.34112,1
2014-08-17,1.10447206,1.3407,1,1.3407,1
2014-08-18,1.10414282,1.338425,1,1.338425,1
2014-08-19,1.10296154,1.3368,1,1.3368,1
2014-08-20,1.10187983,1.3363,1,1.3363,1
2014-08-21,1.10179485,1.33645,1,1.33645,1
2014-08-22,1.10300406,1.3399,1,1.3399,1
2014-08-23,1.10772716,1.33987,1,1.33987,1
2014-08-24,1.10786144,1.339215,1,1.339215,1
2014-08-25,1.10674564,1.336195,1,1.336195,1
2014-08-26,1.10299796,1.3318,1,1.3318,1
2014-08-27,1.09961406,1.32577,1,1.32577,1
2014-08-28,1.09462486,1.3282,1,1.3282,1
2014-08-29,1.09715289,1.32441,1,1.32441,1
2014-08-30,1.09425957,1.32425,1,1.32425,1
2014-08-31,1.09431944,1.319,1,1.319,1
2014-09-01,1.08968669,1.31916,1,1.31916,1
2014-09-02,1.09206077,1.31911,1,1.31911,1
2014-09-03,1.09120273,1.319205,1,1.319205,1
2014-09-04,1.09283049,1.3185,1,1.3185,1
2014-09-05,1.0927708,1.31361,1,1.31361,1
2014-09-06,1.08906368,1.31361,1,1.31361,1
2014-09-07,1.08906368,1.31269,1,1.31269,1
2014-09-08,1.0881393,1.313115,1,1.313115,1
2014-09-09,1.08760083,1.3131,1,1.3131,1
2014-09-10,1.08767773,1.314815,1,1.314815,1
2014-09-11,1.08939584,1.293005,1,1.293005,1
2014-09-12,1.07196073,1.29517,1,1.29517,1
2014-09-13,1.07388322,1.29517,1,1.29517,1
2014-09-14,1.07388322,1.2952,1,1.2952,1
2014-09-15,1.07394091,1.28913,1,1.28913,1
2014-09-16,1.06811362,1.294105,1,1.294105,1
2014-09-17,1.07243207,1.29166,1,1.29166,1
2014-09-18,1.06736119,1.292255,1,1.292255,1
2014-09-19,1.06823913,1.29595,1,1.29595,1
2014-09-20,1.07114553,1.29595,1,1.29595,1
2014-09-21,1.07114553,1.29597,1,1.29597,1
2014-09-22,1.07091609,1.293855,1,1.293855,1
2014-09-23,1.06894728,1.2958,1,1.2958,1
2014-09-24,1.0720814,1.284895,1,1.284895,1
2014-09-25,1.06114309,1.29204,1,1.29204,1
2014-09-26,1.07021123,1.2831,1,1.2831,1
2014-09-27,1.06299301,1.2831,1,1.2831,1
2014-09-28,1.06299301,1.283995,1,1.283995,1
2014-09-29,1.06346777,1.28503,1,1.28503,1
2014-09-30,1.06390336,1.2849,1,1.2849,1
2014-10-01,1.06420342,1.277695,1,1.277695,1
2014-10-02,1.05709364,1.27552,1,1.27552,1
2014-10-03,1.05635663,1.26841,1,1.26841,1
2014-10-04,1.05102743,1.26841,1,1.26841,1
2014-10-05,1.05102743,1.267545,1,1.267545,1
2014-10-06,1.05023815,1.26902,1,1.26902,1
2014-10-07,1.05143626,1.26281,1,1.26281,1
2014-10-08,1.04703272,1.26215,1,1.26215,1
2014-10-09,1.04569714,1.266825,1,1.266825,1
2014-10-10,1.04808072,1.25149,1,1.25149,1
2014-10-11,1.03361314,1.25149,1,1.25149,1
2014-10-12,1.03361314,1.2513,1,1.2513,1
2014-10-13,1.03321809,1.26436,1,1.26436,1
2014-10-14,1.04260067,1.26654,1,1.26654,1
2014-10-15,1.0447465,1.27408,1,1.27408,1
2014-10-16,1.05087278,1.268805,1,1.268805,1
2014-10-17,1.04792147,1.26256,1,1.26256,1
2014-10-18,1.04451738,1.26256,1,1.26256,1
2014-10-19,1.04451738,1.26397,1,1.26397,1
2014-10-20,1.04569696,1.272165,1,1.272165,1
2014-10-21,1.05259282,1.26414,1,1.26414,1
2014-10-22,1.04693955,1.282045,1,1.282045,1
2014-10-23,1.06195442,1.28044,1,1.28044,1
2014-10-24,1.06056911,1.27601,1,1.27601,1
2014-10-25,1.05680322,1.27601,1,1.27601,1
2014-10-26,1.05680322,1.27476,1,1.27476,1
2014-10-27,1.05581014,1.27943,1,1.27943,1
2014-10-28,1.06020929,1.271375,1,1.271375,1
2014-10-29,1.05327464,1.26414,1,1.26414,1
2014-10-30,1.04798186,1.264945,1,1.264945,1
2014-10-31,1.04827848,1.26697,1,1.26697,1
2014-11-01,1.05037608,1.26697,1,1.26697,1
2014-11-02,1.05037608,1.267605,1,1.267605,1
2014-11-03,1.05047542,1.270235,1,1.270235,1
2014-11-04,1.05362978,1.27372,1,1.27372,1
2014-11-05,1.0562339,1.263185,1,1.263185,1
2014-11-06,1.04712061,1.26092,1,1.26092,1
2014-11-07,1.04578993,1.2524,1,1.2524,1
2014-11-08,1.03842165,1.2524,1,1.2524,1
2014-11-09,1.03842165,1.25021,1,1.25021,1
2014-11-10,1.03678516,1.24924,1,1.24924,1
2014-11-11,1.03631776,1.255165,1,1.255165,1
2014-11-12,1.04222578,1.247755,1,1.247755,1
2014-11-13,1.0366938,1.238035,1,1.238035,1
2014-11-14,1.02778621,1.24505,1,1.24505,1
2014-11-15,1.03476826,1.24534,1,1.24534,1
2014-11-16,1.03503601,1.246035,1,1.246035,1
2014-11-17,1.03583472,1.242595,1,1.242595,1
2014-11-18,1.03303653,1.24758,1,1.24758,1
2014-11-19,1.03675827,1.242995,1,1.242995,1
2014-11-20,1.0339551,1.247355,1,1.247355,1
2014-11-21,1.03761889,1.25214,1,1.25214,1
2014-11-22,1.04240508,1.25228,1,1.25228,1
2014-11-23,1.04262245,1.252135,1,1.252135,1
2014-11-24,1.04220959,1.245,1,1.245,1
2014-11-25,1.03630167,1.25323,1,1.25323,1
2014-11-26,1.04307936,1.25401,1,1.25401,1
2014-11-27,1.04367795,1.25432,1,1.25432,1
2014-11-28,1.0433567,1.23909,1,1.23909,1
2014-11-29,1.03117239,1.23904,1,1.23904,1
2014-11-30,1.03118302,1.237185,1,1.237185,1
2014-12-01,1.02906599,1.243395,1,1.243395,1
2014-12-02,1.03391235,1.24796,1,1.24796,1
2014-12-03,1.03777503,1.2505,1,1.2505,1
2014-12-04,1.04031751,1.24599,1,1.24599,1
2014-12-05,1.0366508,1.24484,1,1.24484,1
2014-12-06,1.03626948,1.24482,1,1.24482,1
2014-12-07,1.03562557,1.243675,1,1.243675,1
2014-12-08,1.03323932,1.24702,1,1.24702,1
2014-12-09,1.03653797,1.23877,1,1.23877,1
2014-12-10,1.02881719,1.23142,1,1.23142,1
2014-12-11,1.02327962,1.23859,1,1.23859,1
2014-12-12,1.02954813,1.2286,1,1.2286,1
2014-12-13,1.02181598,1.2286,1,1.2286,1
2014-12-14,1.02181598,1.229415,1,1.229415,1
2014-12-15,1.02150276,1.2315,1,1.2315,1
2014-12-16,1.02448537,1.23882,1,1.23882,1
2014-12-17,1.03034893,1.2481,1,1.2481,1
2014-12-18,1.03739828,1.23933,1,1.23933,1
2014-12-19,1.03183209,1.24635,1,1.24635,1
2014-12-20,1.03757599,1.24635,1,1.24635,1
2014-12-21,1.03757599,1.246405,1,1.246405,1
2014-12-22,1.03751123,1.244035,1,1.244035,1
2014-12-23,1.03600111,1.25109,1,1.25109,1
2014-12-24,1.04174263,1.23371,1,1.23371,1
2014-12-25,1.02726886,1.22905,1,1.22905,1
2014-12-26,1.02060605,1.22295,1,1.22295,1
2014-12-27,1.01623967,1.22295,1,1.22295,1
2014-12-28,1.01623967,1.22247,1,1.22247,1
2014-12-29,1.01572856,1.222325,1,1.222325,1
2014-12-30,1.01581627,1.217525,1,1.217525,1
2014-12-31,1.01250446,1.219145,1,1.219145,1
2015-01-01,1.01385442,1.22084,1,1.22084,1
2015-01-02,1.01512024,1.22025,1,1.22025,1
2015-01-03,1.01208441,1.22025,1,1.22025,1
2015-01-04,1.01208441,1.2169,1,1.2169,1
2015-01-05,1.01178733,1.215355,1,1.215355,1
2015-01-06,1.01036126,1.216175,1,1.216175,1
2015-01-07,1.01142915,1.21035,1,1.21035,1
2015-01-08,1.00510196,1.20872,1,1.20872,1
2015-01-09,1.00550515,1.2002,1,1.2002,1
2015-01-10,0.99825312,1.2002,1,1.2002,1
2015-01-11,0.99825312,1.1946,1,1.1946,1
2015-01-12,0.99414944,1.193775,1,1.193775,1
2015-01-13,0.99369013,1.187235,1,1.187235,1
2015-01-14,0.98867968,1.185355,1,1.185355,1
2015-01-15,0.98561014,1.178895,1,1.178895,1
2015-01-16,0.98179748,1.181005,1,1.181005,1
2015-01-17,0.98357915,1.18435,1,1.18435,1
2015-01-18,0.98599897,1.1868,1,1.1868,1
2015-01-19,0.98819118,1.1832,1,1.1832,1
2015-01-20,0.98522172,1.17774,1,1.17774,1
2015-01-21,0.98069502,1.178415,1,1.178415,1
2015-01-22,0.98127723,1.163635,1,1.163635,1
2015-01-23,1.17009749,1.1561,1,1.1561,1
2015-01-24,1.16462613,1.1561,1,1.1561,1
2015-01-25,1.16462613,1.15634,1,1.15634,1
2015-01-26,1.16539935,1.159545,1,1.159545,1
2015-01-27,1.13648013,1.154565,1,1.154565,1
2015-01-28,1.14330151,1.16164,1,1.16164,1
2015-01-29,1.16193957,1.13468,1,1.13468,1
2015-01-30,1.14688112,1.12065,1,1.12065,1
2015-01-31,1.13508385,1.12065,1,1.12065,1
2015-02-01,1.13508385,1.11376,1,1.11376,1
2015-02-02,1.13464895,1.124955,1,1.124955,1
2015-02-03,1.10947778,1.136825,1,1.136825,1
2015-02-04,1.11192038,1.128335,1,1.128335,1
2015-02-05,1.10277934,1.133475,1,1.133475,1
2015-02-06,1.08387578,1.1285,1,1.1285,1
2015-02-07,1.08560565,1.1285,1,1.1285,1
2015-02-08,1.08560565,1.130765,1,1.130765,1
2015-02-09,1.08518752,1.1339,1,1.1339,1
2015-02-10,1.07828369,1.1458,1,1.1458,1
2015-02-11,1.08109281,1.131685,1,1.131685,1
2015-02-12,1.07972714,1.14707,1,1.14707,1
2015-02-13,1.08432238,1.1315,1,1.1315,1
2015-02-14,1.07891904,1.1315,1,1.1315,1
2015-02-15,1.07891904,1.1314,1,1.1314,1
2015-02-16,1.07949404,1.13264,1,1.13264,1
2015-02-17,1.08143213,1.13186,1,1.13186,1
2015-02-18,1.07903391,1.1311,1,1.1311,1
2015-02-19,1.07654246,1.14039,1,1.14039,1
2015-02-20,1.07492238,1.139,1,1.139,1
2015-02-21,1.072537,1.139,1,1.139,1
2015-02-22,1.072537,1.13976,1,1.13976,1
2015-02-23,1.07304778,1.13323,1,1.13323,1
2015-02-24,1.07198378,1.14041,1,1.14041,1
2015-02-25,1.06791406,1.13997,1,1.13997,1
2015-02-26,1.06150357,1.13659,1,1.13659,1
2015-02-27,1.05311939,1.13845,1,1.13845,1
2015-02-28,1.06587723,1.13845,1,1.13845,1
2015-03-01,1.06587723,1.138045,1,1.138045,1
2015-03-02,1.06303822,1.13329,1,1.13329,1
2015-03-03,1.05149156,1.133935,1,1.133935,1
2015-03-04,1.052399,1.136395,1,1.136395,1
2015-03-05,1.05379638,1.120245,1,1.120245,1
2015-03-06,1.04958228,1.11965,1,1.11965,1
2015-03-07,1.04864779,1.11965,1,1.11965,1
2015-03-08,1.04864779,1.11607,1,1.11607,1
2015-03-09,1.0477019,1.11767,1,1.11767,1
2015-03-10,1.04303023,1.11825,1,1.11825,1
2015-03-11,1.04065854,1.10793,1,1.10793,1
2015-03-12,1.03780733,1.103165,1,1.103165,1
2015-03-13,1.02695771,1.08435,1,1.08435,1
2015-03-14,1.01433284,1.08435,1,1.08435,1
2015-03-15,1.01433284,1.0845,1,1.0845,1
2015-03-16,1.01556353,1.083355,1,1.083355,1
2015-03-17,1.01299676,1.0707,1,1.0707,1
2015-03-18,1.00162264,1.05472,1,1.05472,1
2015-03-19,0.99092315,1.0625,1,1.0625,1
2015-03-20,0.99715816,1.04965,1,1.04965,1
2015-03-21,0.99462963,1.04965,1,1.04965,1
2015-03-22,0.99462963,1.04811,1,1.04811,1
2015-03-23,0.99349269,1.05718,1,1.05718,1
2015-03-24,0.99228008,1.05957,1,1.05957,1
2015-03-25,0.99438181,1.084805,1,1.084805,1
2015-03-26,1.01913425,1.06689,1,1.06689,1
2015-03-27,1.01024388,1.08205,1,1.08205,1
2015-03-28,1.02533205,1.08205,1,1.08205,1
2015-03-29,1.02533205,1.08252,1,1.08252,1
2015-03-30,1.02265181,1.094785,1,1.094785,1
2015-03-31,1.03501455,1.09035,1,1.09035,1
2015-04-01,1.04200316,1.096175,1,1.096175,1
2015-04-02,1.04112443,1.08862,1,1.08862,1
2015-04-03,1.0381036,1.08905,1,1.08905,1
2015-04-04,1.03924752,1.08905,1,1.08905,1
2015-04-05,1.03924752,1.08845,1,1.08845,1
2015-04-06,1.04016609,1.08285,1,1.08285,1
2015-04-07,1.03351697,1.073865,1,1.073865,1
2015-04-08,1.02880663,1.07702,1,1.07702,1
2015-04-09,1.03498781,1.08701,1,1.08701,1
2015-04-10,1.04161256,1.0895,1,1.0895,1
2015-04-11,1.05293612,1.0895,1,1.0895,1
2015-04-12,1.05293612,1.10004,1,1.10004,1
2015-04-13,1.05006179,1.0933,1,1.0933,1
2015-04-14,1.04367257,1.0823,1,1.0823,1
2015-04-15,1.03542718,1.0784,1,1.0784,1
2015-04-16,1.03482181,1.06673,1,1.06673,1
2015-04-17,1.023531,1.0586,1,1.0586,1
2015-04-18,1.01886241,1.0586,1,1.0586,1
2015-04-19,1.01886241,1.0571,1,1.0571,1
2015-04-20,1.02314882,1.06465,1,1.06465,1
2015-04-21,1.02775456,1.06785,1,1.06785,1
2015-04-22,1.03620502,1.07581,1,1.07581,1
2015-04-23,1.04515056,1.08055,1,1.08055,1
2015-04-24,1.0501538,1.08055,1,1.08055,1
2015-04-25,1.0501538,1.08095,1,1.08095,1
2015-04-26,1.05091147,1.07506,1,1.07506,1
2015-04-27,1.04668207,1.07387,1,1.07387,1
2015-04-28,1.04718628,1.07245,1,1.07245,1
2015-04-29,1.03111919,1.08147,1,1.08147,1
2015-04-30,1.04645754,1.0875,1,1.0875,1
2015-05-01,1.04841069,1.0875,1,1.0875,1
2015-05-02,1.04841069,1.08655,1,1.08655,1
2015-05-03,1.04860826,1.087575,1,1.087575,1
2015-05-04,1.04687381,1.09673,1,1.09673,1
2015-05-05,1.04583921,1.11121,1,1.11121,1
2015-05-06,1.06342253,1.12143,1,1.12143,1
2015-05-07,1.0713521,1.12005,1,1.12005,1
2015-05-08,1.07216794,1.12005,1,1.12005,1
2015-05-09,1.07216794,1.118845,1,1.118845,1
2015-05-10,1.07140996,1.11494,1,1.11494,1
2015-05-11,1.0710652,1.1183,1,1.1183,1
2015-05-12,1.07845789,1.13395,1,1.13395,1
2015-05-13,1.09116709,1.1245,1,1.1245,1
2015-05-14,1.08478698,1.12225,1,1.12225,1
2015-05-15,1.07368267,1.12225,1,1.12225,1
2015-05-16,1.07368267,1.11955,1,1.11955,1
2015-05-17,1.07341632,1.11455,1,1.11455,1
2015-05-18,1.06991353,1.121955,1,1.121955,1
2015-05-19,1.07708713,1.13485,1,1.13485,1
2015-05-20,1.09032826,1.14015,1,1.14015,1
2015-05-21,1.09563228,1.139,1,1.139,1
2015-05-22,1.09164979,1.139,1,1.139,1
2015-05-23,1.09164979,1.144405,1,1.144405,1
2015-05-24,1.09241865,1.132435,1,1.132435,1
2015-05-25,1.07979701,1.11446,1,1.11446,1
2015-05-26,1.06706512,1.10985,1,1.10985,1
2015-05-27,1.06786283,1.111035,1,1.111035,1
2015-05-28,1.06659841,1.1013,1,1.1013,1
2015-05-29,1.05952633,1.1013,1,1.1013,1
2015-05-30,1.05952633,1.099065,1,1.099065,1
2015-05-31,1.05992836,1.09701,1,1.09701,1
2015-06-01,1.05744017,1.0885,1,1.0885,1
2015-06-02,1.05061887,1.08976,1,1.08976,1
2015-06-03,1.0527425,1.0963,1,1.0963,1
2015-06-04,1.06024868,1.090875,1,1.090875,1
2015-06-05,1.0636546,1.090875,1,1.090875,1
2015-06-06,1.0636546,1.096,1,1.096,1
2015-06-07,1.06211799,1.09205,1,1.09205,1
2015-06-08,1.05700427,1.114935,1,1.114935,1
2015-06-09,1.07129481,1.126205,1,1.126205,1
2015-06-10,1.06998792,1.120745,1,1.120745,1
2015-06-11,1.06951877,1.1113,1,1.1113,1
2015-06-12,1.06439623,1.1113,1,1.1113,1
